site_ID	island	salinity_level	total_phosphorus_?g_l	fetch_km	distance_coastal_pool_km	distance_sea_m	distance_rockpools_m	chl_a_?g_cm2	species_richness	evenness	effective_number_of_species	biovolume_?m3
IS1 S0 R2	Spikarna	0	434	48,0555	2,11	13,7	18,47	0,005	2	0,020707107	1,014456573	18,04970179
IS1 S0 R3	Spikarna	0	1131	48,0555	2,11	13,7	18,47	0,005	5	0,077207187	1,13231043	25,23138833
IS1 S3 R1	Spikarna	3	782	48,0555	2,11	13,7	18,47	0,005	6	0,304660077	1,726122523	25,77733598
IS1 S3 R2	Spikarna	3	1731	48,0555	2,11	13,7	18,47	0,02	6	0,746832583	3,81196328	40,83300589
IS1 S3 R3	Spikarna	3	542	48,0555	2,11	13,7	18,47	0,145	7	0,152612378	1,345774891	22,364
IS1 S6 R1	Spikarna	6	1008	48,0555	2,11	13,7	18,47	0,025	8	0,610394754	3,558290415	89,86878728
IS1 S6 R2	Spikarna	6	567	48,0555	2,11	13,7	18,47	0,115	8	0,546694731	3,116840209	79,46862745
IS1 S6 R3	Spikarna	6	479	48,0555	2,11	13,7	18,47	0,025	6	0,417302123	2,112147136	104,6482213
IS1 S18 R1	Spikarna	18	494	48,0555	2,11	13,7	18,47	0,09	6	0,29779442	1,705018517	61,99403579
IS1 S18 R2	Spikarna	18	1973	48,0555	2,11	13,7	18,47	0,04	6	0,404779995	2,065285325	57,59411765
IS1 S18 R3	Spikarna	18	2716	48,0555	2,11	13,7	18,47	0,23	6	0,344171032	1,852751268	57,33529412
IS1 S40 R1	Spikarna	40	878	48,0555	2,11	13,7	18,47	0,07	3	0,30316586	1,395233436	83,88492063
IS1 S40 R2	Spikarna	40	309	48,0555	2,11	13,7	18,47	0,14	4	0,120076136	1,181117318	65,6027668
IS1 S40 R3	Spikarna	40	804	48,0555	2,11	13,7	18,47	0,14	2	0,066343975	1,047059898	59,13385827
IS2 S0 R1	Brännskär	0	357	0,263	1,2	4,3	10,31	0,005	14	0,298348303	2,197583343	152,8599606
IS2 S0 R2	Brännskär	0	78	0,263	1,2	4,3	10,31	0,005	10	0,396881811	2,493915938	274,8648111
IS2 S0 R3	Brännskär	0	87	0,263	1,2	4,3	10,31	0,005	12	0,425057725	2,875506311	292,5976331
IS2 S3 R1	Brännskär	3	101	0,263	1,2	4,3	10,31	0,005	7	0,506594605	2,679921717	101,0499002
IS2 S3 R2	Brännskär	3	64	0,263	1,2	4,3	10,31	0,055	7	0,563173464	2,991829158	283,297619
IS2 S3 R3	Brännskär	3	376	0,263	1,2	4,3	10,31	0,005	9	0,583691383	3,60564637	167,0199601
IS2 S6 R1	Brännskär	6	103	0,263	1,2	4,3	10,31	0,04	7	0,36793804	2,046179439	149,0896686
IS2 S6 R2	Brännskär	6	46	0,263	1,2	4,3	10,31	0,01	5	0,310900302	1,649339217	146,5219124
IS2 S6 R3	Brännskär	6	60	0,263	1,2	4,3	10,31	0,095	7	0,249393786	1,624658921	150,9105368
IS2 S18 R1	Brännskär	18	93	0,263	1,2	4,3	10,31	0,005	9	0,577246783	3,554949362	384,9181637
IS2 S18 R2	Brännskär	18	110	0,263	1,2	4,3	10,31	0,0075	9	0,601674162	3,750965438	298,5351563
IS2 S18 R3	Brännskär	18	104	0,263	1,2	4,3	10,31	0,075	8	0,547058594	3,119199399	149,91423
IS2 S40 R1	Brännskär	40	96	0,263	1,2	4,3	10,31	0,02	8	0,679230798	4,10588265	264,8359684
IS2 S40 R2	Brännskär	40	100	0,263	1,2	4,3	10,31	0,105	9	0,655728586	4,224001768	333,5816733
IS2 S40 R3	Brännskär	40	224	0,263	1,2	4,3	10,31	0,115	7	0,630304657	3,409331497	170,2086614
IS3 S0 R3	Granbusken	0	458	46,082	2,9	37,5	8,95	0,005	3	0,026036719	1,029017291	18,80594059
IS3 S3 R1	Granbusken	3	146	46,082	2,9	37,5	8,95	0,03	7	0,354872629	1,994812879	373,927451
IS3 S3 R2	Granbusken	3	99	46,082	2,9	37,5	8,95	0,335	9	0,518836041	3,126766183	252,527451
IS3 S3 R3	Granbusken	3	264	46,082	2,9	37,5	8,95	0,005	7	0,235082359	1,580038398	84,13060429
IS3 S6 R1	Granbusken	6	129	46,082	2,9	37,5	8,95	0,365	8	0,367198006	2,145916614	347,2019417
IS3 S6 R2	Granbusken	6	145	46,082	2,9	37,5	8,95	0,3	9	0,298875398	1,928411043	579,9023904
IS3 S6 R3	Granbusken	6	100	46,082	2,9	37,5	8,95	0,375	10	0,579965838	3,801594911	357,5299807
